dial_id,turn_id,predicted,correct,prob,entropy,confidence,chatscript_prob,chatscript_rank
0,0,what_brings_you_in_today,True,0.99018747165613841,0.091253117807021236,5.9131214214912449,,
0,1,describe_the_pain,False,0.40941125448070959,2.2849009931804098,-3.931129135538447,,
0,2,what_brings_you_in_today,True,0.97355395120352506,0.26180823909162793,5.6901731153229038,0.97355395120352506,1
0,3,where_is_the_pain,True,0.92635850873987891,0.62180640645812546,3.8327232162957587,0.92635850873987891,1
0,4,when_did_the_pain_start,True,0.93210132129576706,0.60389970463008658,3.994522501377483,0.93210132129576706,1
0,5,what_makes_the_pain_worse,True,0.98457337091973007,0.12683250564810189,3.6478173486178198,0.98457337091973007,1
0,6,what_do_you_do_for_a_living,True,0.38796144290956808,3.101856385098257,-2.655368672280102,0.38796144290956808,1
0,7,what_makes_the_pain_better,True,0.96572676452172102,0.2416764975135493,4.0751645380983357,0.96572676452172102,1
0,8,are_you_taking_any_other_medication,True,0.97473203848135759,0.18616211139013997,4.4462935882210779,0.97473203848135759,1
10,0,how_are_you,True,0.95168085844919148,0.28857330716304191,5.1006451103650008,0.95168085844919148,1
10,1,describe_the_pain,True,0.92587620446319729,0.34448492953316145,-1.7254443244506139,0.92587620446319729,1
10,2,any_other_problems,False,0.97914441070717129,0.13634773805624681,10.795285848096849,0.0057657076878952591,3
10,3,describe_the_pain,True,0.94918157156059024,0.38271783331841908,6.0742738805928269,0.94918157156059024,1
10,4,when_did_the_pain_start,True,0.91019551216339667,0.47058305760650571,2.1777617605437571,0.91019551216339667,1
10,5,can_you_rate_the_pain,True,0.98633248894317849,0.10918807198810773,3.2447477951691508,0.0069650424042386567,2
10,6,what_makes_the_pain_better,True,0.98609230154284999,0.10802729583733267,1.8947673740325921,0.98609230154284999,1
10,7,what_makes_the_pain_worse,True,0.96485388152323359,0.19588443713957737,1.692279839491913,0.96485388152323359,1
10,8,i_am_sorry,True,0.95163719163082117,0.41394786750818852,5.1284479595282422,0.95163719163082117,1
10,9,how_has_this_affected_you,True,0.98954907839531669,0.10100183538324492,4.587168291535126,0.98954907839531669,1
10,10,what_do_you_do_for_a_living,True,0.36482097447303857,3.0126299282740994,-2.6647605819445177,0.36482097447303857,1
10,11,i_have_more_questions,True,0.9870420836833802,0.11630960913972976,4.4264406972228905,0.9870420836833802,1
10,12,how_is_your_family,True,0.95093828381721979,0.36285861194320906,3.2462086114462503,0.95093828381721979,1
10,13,any_family_history_of_illness,False,0.67613911713926433,1.5827319528132504,0.37029540858435084,7.7062367367251123e-05,283
10,14,have_you_ever_been_in_an_accident,False,0.85852276669243999,0.76006952030918851,-0.23781482934474463,0.083125961988418914,2
10,15,any_prior_surgeries,True,0.92792559017103438,0.62548008122611642,4.4632635596815389,0.92792559017103438,1
10,16,are_you_taking_any_medication,True,0.98314226163768925,0.15146692998491276,1.1151380369029364,0.98314226163768925,1
10,17,have_you_ever_taken_any_other_medication,False,0.51697034414790388,2.2290258670836951,-3.4958716401747827,0.51697034414790388,1
10,18,are_you_happy,True,0.91667444659974406,0.67822465202283233,-1.8885524215658087,0.91667444659974406,1
10,19,good,True,0.58721282938848218,1.7920653984718062,-0.77858483455090954,,
10,20,do_you_have_any_children,True,0.97376657508574815,0.25256208828968607,5.2926677682237546,0.97376657508574815,1
10,21,are_you_sexually_active,True,0.89484973102725784,0.81774710463340572,1.9770146666496151,0.89484973102725784,1
10,22,are_you_sexually_active,True,0.55099360847450196,2.1084827851039769,-1.3592333022222647,0.55099360847450196,1
10,23,does_your_hip_hurt,True,0.54480933975165613,2.9502543411339852,-2.3434119466822567,0.54480933975165613,1
10,24,does_your_hip_hurt,True,0.37332285836771517,3.1578056735462243,-2.6240736665124968,0.37332285836771517,1
10,25,is_urination_always_painful,False,0.23780991606651236,4.1026790782644476,-3.9888899037887788,0.00066884346623139195,165
10,26,how_often_do_you_urinate,False,0.59934250993122096,1.8572964769850606,0.051128516144018449,0.017992894386840947,4
10,27,how_is_your_diet,True,0.95239060986342627,0.40395878193643342,2.871789397997949,0.95239060986342627,1
